Service,Category,Subcategory,"Incident Type"
"IT Infrastructure - Network","Voice Services","xMedius - Fax Services Request","Service Request"
"IT Infrastructure - Server","Application Tirage",ACS,Incident
"IT Infrastructure - Server","Application Tirage","Active Directory",Incident
"IT Infrastructure - Server","Application Tirage",Admissions,Incident
"IT Infrastructure - Server","Application Tirage","Analytics databases 2012",Incident
"IT Infrastructure - Server","Application Tirage",Angel,Incident
"IT Infrastructure - Server","Application Tirage","Angel - Rasmussen",Incident
"IT Infrastructure - Server","Application Tirage","Angel - Wiley",Incident
"IT Infrastructure - Server","Application Tirage","Angel Archive",Incident
"IT Infrastructure - Server","Application Tirage","ANGEL DTK",Incident
"IT Infrastructure - Server","Application Tirage","Angel Reporting",Incident
"IT Infrastructure - Server","Application Tirage",Angel?,Incident
"IT Infrastructure - Server","Application Tirage","Authoring Tool - Rasmussen",Incident
"IT Infrastructure - Server","Application Tirage","Automated Outreach",Incident
"IT Infrastructure - Server","Application Tirage","Backup server",Incident
"IT Infrastructure - Server","Application Tirage","Ben & Collegis Platform",Incident
"IT Infrastructure - Server","Application Tirage",BI3,Incident
"IT Infrastructure - Server","Application Tirage",BIPADEV,Incident
"IT Infrastructure - Server","Application Tirage","Blackboard Learn",Incident
"IT Infrastructure - Server","Application Tirage","Bomgar Applicance",Incident
"IT Infrastructure - Server","Application Tirage",Bridge/Synapse,Incident
"IT Infrastructure - Server","Application Tirage","Campus Carousel",Incident
"IT Infrastructure - Server","Application Tirage",CampusVue,Incident
"IT Infrastructure - Server","Application Tirage",CEC,Incident
"IT Infrastructure - Server","Application Tirage",Cherwell,Incident
"IT Infrastructure - Server","Application Tirage",Chipsnet,Incident
"IT Infrastructure - Server","Application Tirage",CLASS,Incident
"IT Infrastructure - Server","Application Tirage",CMDB,Incident
"IT Infrastructure - Server","Application Tirage",CRE,Incident
"IT Infrastructure - Server","Application Tirage",Datawarehouse,Incident
"IT Infrastructure - Server","Application Tirage","Denison Project",Incident
"IT Infrastructure - Server","Application Tirage",Drupal,Incident
"IT Infrastructure - Server","Application Tirage",ECAS,Incident
"IT Infrastructure - Server","Application Tirage",ELK,Incident
"IT Infrastructure - Server","Application Tirage","EMC Avamar",Incident
"IT Infrastructure - Server","Application Tirage","EMC ESRS",Incident
"IT Infrastructure - Server","Application Tirage","Engage - Rasmussen",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - American University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Anna Maria College",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Antioch University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Benedictine University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Butler University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Catholic University of America",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Concordia University of Nebraska",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Discovery",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Georgetown University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Internal, multi",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Lubbock Christian University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Manhattan College",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Memcache",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Mongodb",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Multiparter",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - MySQL &NFS",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - NonStudentPaid",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Notre Dame de Namur University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Our Lady of the Lake University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Purdue University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Queens University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Scranton University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - University of Florida",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - University of St. Mary",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - University of Texas - Mccombs",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Utica University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Widener University",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley - Wiley Internal",Incident
"IT Infrastructure - Server","Application Tirage","Engage Wiley Test",Incident
"IT Infrastructure - Server","Application Tirage","EPiServer - Cabrini",Incident
"IT Infrastructure - Server","Application Tirage",FlexPrint,Incident
"IT Infrastructure - Server","Application Tirage","HP SIM",Incident
"IT Infrastructure - Server","Application Tirage","JAMF Casper Suite",Incident
"IT Infrastructure - Server","Application Tirage",Kaltura,Incident
"IT Infrastructure - Server","Application Tirage","Lead Routing Application",Incident
"IT Infrastructure - Server","Application Tirage","Legacy Applications",Incident
"IT Infrastructure - Server","Application Tirage","LMS Admin",Incident
"IT Infrastructure - Server","Application Tirage","LMS Content",Incident
"IT Infrastructure - Server","Application Tirage","LMS Content - Collegis",Incident
"IT Infrastructure - Server","Application Tirage",MCAM,Incident
"IT Infrastructure - Server","Application Tirage",Microsites,Incident
"IT Infrastructure - Server","Application Tirage","Microsoft Dynamics SL",Incident
"IT Infrastructure - Server","Application Tirage","Microsoft Exchange",Incident
"IT Infrastructure - Server","Application Tirage","Microsoft Lync Server",Incident
"IT Infrastructure - Server","Application Tirage","Microsoft SCCM",Incident
"IT Infrastructure - Server","Application Tirage","Microsoft Sharepoint",Incident
"IT Infrastructure - Server","Application Tirage","Multiple Applications",Incident
"IT Infrastructure - Server","Application Tirage","Multiple Applications?",Incident
"IT Infrastructure - Server","Application Tirage",MyCourseLabs,Incident
"IT Infrastructure - Server","Application Tirage","MyCourseLabs - Rasmussen?",Incident
"IT Infrastructure - Server","Application Tirage",Nagios,Incident
"IT Infrastructure - Server","Application Tirage","Nagios 4 64 Bit",Incident
"IT Infrastructure - Server","Application Tirage","New Hire Form - Wiley",Incident
"IT Infrastructure - Server","Application Tirage",Nice,Incident
"IT Infrastructure - Server","Application Tirage","Postgres Enterprise Manager",Incident
"IT Infrastructure - Server","Application Tirage","Prod Student app",Incident
"IT Infrastructure - Server","Application Tirage","Rasmussen Ready",Incident
"IT Infrastructure - Server","Application Tirage","Redhat Satellite",Incident
"IT Infrastructure - Server","Application Tirage",Salesforce,Incident
"IT Infrastructure - Server","Application Tirage",Salto,Incident
"IT Infrastructure - Server","Application Tirage","Schedule Confirmation",Incident
"IT Infrastructure - Server","Application Tirage",SchoolDocs,Incident
"IT Infrastructure - Server","Application Tirage",Scorecard,Incident
"IT Infrastructure - Server","Application Tirage","Script Applications",Incident
"IT Infrastructure - Server","Application Tirage",Security,Incident
"IT Infrastructure - Server","Application Tirage","Server Team Utility",Incident
"IT Infrastructure - Server","Application Tirage",SFTP,Incident
"IT Infrastructure - Server","Application Tirage","SFTP - Wiley",Incident
"IT Infrastructure - Server","Application Tirage","SiteCore - WebCMS",Incident
"IT Infrastructure - Server","Application Tirage",SOCVue,Incident
"IT Infrastructure - Server","Application Tirage","Solomon - Deltak",Incident
"IT Infrastructure - Server","Application Tirage",Spotlight,Incident
"IT Infrastructure - Server","Application Tirage","SQL Dev",Incident
"IT Infrastructure - Server","Application Tirage","SQL Reporting Services",Incident
"IT Infrastructure - Server","Application Tirage","SQL Server Integration Services",Incident
"IT Infrastructure - Server","Application Tirage","SRM Walk-in App",Incident
"IT Infrastructure - Server","Application Tirage",SRSS,Incident
"IT Infrastructure - Server","Application Tirage",SSIS,Incident
"IT Infrastructure - Server","Application Tirage","SSIS - Deltak?",Incident
"IT Infrastructure - Server","Application Tirage","SSIS - Rasmussen",Incident
"IT Infrastructure - Server","Application Tirage",STEP,Incident
"IT Infrastructure - Server","Application Tirage","Synapse (Bridge)",Incident
"IT Infrastructure - Server","Application Tirage","System Center Configuration Manager",Incident
"IT Infrastructure - Server","Application Tirage",TalentWise,Incident
"IT Infrastructure - Server","Application Tirage","Team Foundation Server",Incident
"IT Infrastructure - Server","Application Tirage","Test / Replacement for devsqp01",Incident
"IT Infrastructure - Server","Application Tirage",Transcripts,Incident
"IT Infrastructure - Server","Application Tirage","URL Redirector?",Incident
"IT Infrastructure - Server","Application Tirage","User Acceptance Testing",Incident
"IT Infrastructure - Server","Application Tirage",Utility,Incident
"IT Infrastructure - Server","Application Tirage",vCenter,Incident
"IT Infrastructure - Server","Application Tirage","Visual dBase",Incident
"IT Infrastructure - Server","Application Tirage","vMax Management",Incident
"IT Infrastructure - Server","Application Tirage",Warehouse,Incident
"IT Infrastructure - Server","Application Tirage",WIKI,Incident
"IT Infrastructure - Server","Application Tirage","Wiley Training Requistion Form",Incident
"IT Infrastructure - Server","Application Tirage","WordPress - Cabrini",Incident
"IT Infrastructure - Server","Application Tirage",Xmedius,Incident
"IT Infrastructure - Server","Backup and Restore","Backup Failure",Incident
"IT Infrastructure - Server","Backup and Restore","Backup Request","Service Request"
"IT Infrastructure - Server","Backup and Restore","Restore Request","Service Request"
"IT Infrastructure - Server",DNS,"Add New","Service Request"
"IT Infrastructure - Server",DNS,"Modify Existing","Service Request"
"IT Infrastructure - Server",DNS,"Remove Existing","Service Request"
"IT Infrastructure - Server",Monitoring,"Modify existing monitoring check","Service Request"
"IT Infrastructure - Server",Monitoring,"New monitoring request","Service Request"
"IT Infrastructure - Server",Monitoring,"Remove monitoring check","Service Request"
"IT Infrastructure - Server",Server,"Decommision server","Service Request"
"IT Infrastructure - Server",Server,"New server request","Service Request"
"IT Infrastructure - Server",Server,"Resource Add - CPU","Service Request"
"IT Infrastructure - Server",Server,"Resource Add - Memory","Service Request"
"IT Infrastructure - Server",Server,"Resource Add - Storage","Service Request"
"IT Infrastructure - Server",Server,"Server Access","Service Request"
"Learning System Support",Account,"Block Request","Service Request"
"Learning System Support",Account,"Credentials Question","Service Request"
"Learning System Support",Account,"Enrollment Incorrect/Missing",Incident
"Learning System Support",Account,"No Account","Service Request"
"Learning System Support",Account,"Non-Student Enrollment Request","Service Request"
"Learning System Support",Account,"Password Reset",Incident
"Learning System Support","Course Content","(Comptetency Course)","Service Request"
"Learning System Support","Course Content","Broken Link",Incident
"Learning System Support","Course Content","Content Change Request","Service Request"
"Learning System Support","Course Content","Content Incorrect/Missing",Incident
"Learning System Support","Course Content","Course Clone Request","Service Request"
"Learning System Support","Course Content","Course Message Issue",Incident
"Learning System Support","Course Content","Course Message Report Request","Service Request"
"Learning System Support","Course Content","Course Update","Service Request"
"Learning System Support","Course Content","Discussion Forum Issue",Incident
"Learning System Support","Course Content","Discussion Forum Revision","Service Request"
"Learning System Support","Course Content","Drop Box Issue",Incident
"Learning System Support","Course Content","Lecture Revision","Service Request"
"Learning System Support","Course Content","Partner Course Issue",Incident
"Learning System Support","Course Content","Quiz/Exam Issue",Incident
"Learning System Support","Course Content","Quiz/Exam Revision","Service Request"
"Learning System Support","Course Content","Syllabus Adjustment","Service Request"
"Learning System Support","Course Content","Syllabus Issue",Incident
"Learning System Support","Course Content","Text Issue",Incident
"Learning System Support","Course Content","Video Error",Incident
"Learning System Support","Course Content","Virtual Lab issue",Incident
"Learning System Support","Course Content","Written Assignment Revision","Service Request"
"Learning System Support",Email,"Course Mail",Incident
"Learning System Support",Email,"Course Notifications",Incident
"Learning System Support",Gradebook,"Calculation Error",Incident
"Learning System Support",Gradebook,Creating,Incident
"Learning System Support",Gradebook,Deleting,Incident
"Learning System Support",Gradebook,Editing,Incident
"Learning System Support",Gradebook,Exporting,Incident
"Learning System Support",Gradebook,Missing,Incident
"Learning System Support","Kaltura MediaSpace","Instructor Assistance",Incident
"Learning System Support","Kaltura MediaSpace","Log In Assistance",Incident
"Learning System Support","LMS System","Exception Error",Incident
"Learning System Support","LMS System","HTTP Error",Incident
"Learning System Support","LMS System","Platform Performance",Incident
"Learning System Support","LMS System","System Down",Incident
"Learning System Support",Navigation,"Error Accessing",Incident
"Learning System Support",Navigation,General,"Service Request"
"Learning System Support","Online Meeting Software","Access Issue",Incident
"Learning System Support","Online Meeting Software","Latency Issue",Incident
"Learning System Support","Online Meeting Software","Meeting Setup Issue",Incident
"Learning System Support","Online Meeting Software","New Account Request","Service Request"
"Learning System Support","Online Meeting Software","Recording issue",Incident
"Learning System Support",Submissions,"Archive Retrieval","Service Request"
"Learning System Support",Submissions,"Discussion Board",Incident
"Learning System Support",Submissions,"Submission Error",Incident
"Learning System Support",Submissions,Uploading,Incident
"Learning System Support",Submissions,z_Arch-ve-Escalation...,"Service Request"
"Learning System Support",Unsupported,"Unsupported Issue",Incident
Marketing,"Access Issues","Marketing Portal","Service Request"
Marketing,"Access Issues","Student Portal","Service Request"
Marketing,"Content Changes","Marketing Portal","Service Request"
Marketing,"Content Changes",Rasmussen.edu,"Service Request"
Marketing,"Content Changes","Student Portal","Service Request"
Marketing,"Marketing Issue","Submit Incident",Incident
Marketing,"Marketing Request","Service Request","Service Request"
Marketing,Other,"Other Issue",Incident
Marketing,Other,"Other Request","Service Request"
Marketing,"Student Email","Opt Out","Service Request"
Materials,"Access Code / Link","Initial Tutorial","Service Request"
Materials,"Access Code / Link","Library / Ebscohost","Service Request"
Materials,"Access Code / Link","No Link/Code Availabile",Incident
Materials,"Access Code / Link","Reissue Link/Code","Service Request"
Materials,"Account Access","Credentials Question","Service Request"
Materials,"Account Access","No Account","Service Request"
Materials,"Account Access","Password Reset",Incident
Materials,"Download Assistance","Error Accessing",Incident
Materials,"Download Assistance","Initial Tutorial","Service Request"
Materials,"General Navigation","Error Accessing",Incident
Materials,"General Navigation","Initial Tutorial","Service Request"
Materials,Incorrect/Incomplete,Exchanges,"Service Request"
Materials,Incorrect/Incomplete,"Missing / Never Received",Incident
Materials,Incorrect/Incomplete,"Not Received / Missing",Incident
Materials,Incorrect/Incomplete,"Re-Issue Shipping Label","Service Request"
Materials,Incorrect/Incomplete,Return,"Service Request"
Materials,Incorrect/Incomplete,Wrong,Incident
Procurement,Order,"USB Headset","Service Request"
Reports,Access,Issue,Incident
Reports,Access,New,"Service Request"
Reports,Report,Accuracy,Incident
Reports,Report,"General Errors",Incident
Reports,Report,"New Report","Service Request"
Software,Install,"Errors, etc",Incident
Software,"Navigation / Usage","Navigation / Usage","Service Request"
Software,Troubleshoot,Troubleshoot,Incident
"Wiley_Contact Administration","Call Transfer","Transfer Call","Service Request"
"Wiley_Contact Administration",Enrollment,"Change Schedule","Service Request"
"Wiley_Contact Administration",Enrollment,Drop,"Service Request"
"Wiley_Contact Administration",Enrollment,"Enrollment Request","Service Request"
"Wiley_Contact Administration",Enrollment,"Orientation Request","Service Request"
"Wiley_Contact Administration","Student/Faculty Concerns","Attendance Problem",Incident
"Wiley_Contact Administration","Student/Faculty Concerns","Grade Concern","Service Request"
"Wiley_Contact Administration","Student/Faculty Concerns","Instructor/Student Problem",Incident
"Wiley_Contact Administration","Update Personal Information","Change Name","Service Request"
"Wiley_Learning System Support",Account,"Credential Question","Service Request"
"Wiley_Learning System Support",Account,"Enrollment Missing/Incorrect",Incident
"Wiley_Learning System Support",Account,"Need Account","Service Request"
"Wiley_Learning System Support",Account,"Reset Password",Incident
"Wiley_Learning System Support","Course Content","Change Request","Service Request"
"Wiley_Learning System Support","Course Content","Clone Course Request","Service Request"
"Wiley_Learning System Support","Course Content","Content Missing/Incorrect",Incident
"Wiley_Learning System Support","Course Content","Discussion Forum Change","Service Request"
"Wiley_Learning System Support","Course Content","Discussion Forum Problem",Incident
"Wiley_Learning System Support","Course Content","Drop Box Problem",Incident
"Wiley_Learning System Support","Course Content","Lecture Change","Service Request"
"Wiley_Learning System Support","Course Content","Link Broken",Incident
"Wiley_Learning System Support","Course Content","Message Issue",Incident
"Wiley_Learning System Support","Course Content","Message Report Request","Service Request"
"Wiley_Learning System Support","Course Content","Quiz/Exam Change","Service Request"
"Wiley_Learning System Support","Course Content","Quiz/Exam Problem",Incident
"Wiley_Learning System Support","Course Content","Syllabus Change","Service Request"
"Wiley_Learning System Support","Course Content","Syllabus Problem",Incident
"Wiley_Learning System Support","Course Content","Text Problem",Incident
"Wiley_Learning System Support","Course Content","Video Problem",Incident
"Wiley_Learning System Support","Course Content","Virtual Lab Problem",Incident
"Wiley_Learning System Support","Course Content","Written Assignment Change","Service Request"
"Wiley_Learning System Support",Email,"Course eMail",Incident
"Wiley_Learning System Support",Email,"Course Notification",Incident
"Wiley_Learning System Support",Gradebook,"Calculation Problem",Incident
"Wiley_Learning System Support",Gradebook,Changing,Incident
"Wiley_Learning System Support",Gradebook,"Creating New",Incident
"Wiley_Learning System Support",Gradebook,Export,Incident
"Wiley_Learning System Support",Gradebook,Missing-,Incident
"Wiley_Learning System Support",Gradebook,Removal,Incident
"Wiley_Learning System Support","LMS System","Down System",Incident
"Wiley_Learning System Support","LMS System","Error - Exception",Incident
"Wiley_Learning System Support","LMS System","Error - HTTP",Incident
"Wiley_Learning System Support","LMS System","Performance - Platform",Incident
"Wiley_Learning System Support",Navigation,"Access Error",Incident
"Wiley_Learning System Support","Online Meeting Software","Access Problem",Incident
"Wiley_Learning System Support","Online Meeting Software","Latency Problem",Incident
"Wiley_Learning System Support","Online Meeting Software","Meeting Setup Problem",Incident
"Wiley_Learning System Support","Online Meeting Software","New Account","Service Request"
"Wiley_Learning System Support","Online Meeting Software","Recording Problem",Incident
"Wiley_Learning System Support","Online Meeting Software",Wiley,Incident
"Wiley_Learning System Support",Submissions,"Discussion Board Problem",Incident
"Wiley_Learning System Support",Submissions,"Retrieve Archive","Service Request"
"Wiley_Learning System Support",Submissions,"Submission Problem",Incident
"Wiley_Learning System Support",Submissions,"Uploading Problem",Incident
Wiley_Materials,"Access Code / Link","No code/link availabile",Incident
Wiley_Materials,"Access Code / Link","Reissue code/link","Service Request"
Wiley_Materials,"Access Code / Link",Tutorial,"Service Request"
Wiley_Materials,"Account Access","Credential Question","Service Request"
Wiley_Materials,"Account Access","Need Account","Service Request"
Wiley_Materials,"Account Access","Reset Password",Incident
Wiley_Materials,"Download Assistance","Access Error",Incident
Wiley_Materials,"Download Assistance",Tutorial,"Service Request"
Wiley_Materials,"General Navigation","Access Error",Incident
Wiley_Materials,"General Navigation",Tutorial,"Service Request"
Wiley_Materials,Incorrect/Incomplete,Exchange,"Service Request"
Wiley_Materials,Incorrect/Incomplete,"Missing / Not Received",Incident
Wiley_Materials,Incorrect/Incomplete,"Never Received / Missing",Incident
Wiley_Materials,Incorrect/Incomplete,Returns,"Service Request"
Wiley_Materials,Incorrect/Incomplete,"Shipping Label - re-Issue","Service Request"
Wiley_Materials,Incorrect/Incomplete,"Wrong Item",Incident

